datetime,app_id,dev_id,time,FixAge,TimeActive,batteryVoltage,boardTemperature,imei,lastResetCause,timestamp,waterEC,waterTemperature,Lat,Lon,SatInFix,altitude,course,speed,pH,name
2020-08-20 00:00:03.602,mijnomgeving,357518080495088,1597881603602,255.0,207040.0,4.09,24.0,357518080495088.0,32.0,1597881814.0,0.0,26.29,2.55e-05,2.55e-05,0.0,0.0,0.0,0.0,8.103,EC 321
2020-08-20 00:00:27.951,mijnomgeving,357518080166580,1597881627951,3.0,67512.0,4.14,20.0,357518080166580.0,32.0,1597881628.0,823.0,24.17,52.3604859,4.8159718,5.0,-24.0,57.0,0.0,,EC 224
2020-08-20 00:00:40.554,mijnomgeving,357518080495021,1597881640554,18.0,20735.0,4.21,20.0,357518080495021.0,32.0,1597881637.0,359.0,21.18,53.1562514,7.0210348,5.0,0.0,7.0,0.0,,EC 325
2020-08-20 00:01:52.270,mijnomgeving,357518080494982,1597881712270,255.0,39738.0,4.08,24.0,357518080494982.0,16.0,1597881684.0,592.0,21.79,2.55e-05,2.55e-05,0.0,0.0,0.0,0.0,,EC 326
2020-08-20 00:02:40.763,mijnomgeving,357518080494875,1597881760763,11.0,66629.0,4.189999999999999,23.0,357518080494875.0,32.0,1597881760.0,1792.0,22.85,52.6578784,5.6150556,4.0,-15.0,202.0,0.0,,EC 311
2020-08-20 00:02:49.134,mijnomgeving,357518080495526,1597881769134,0.0,1272649.0,4.18,14.0,357518080495526.0,32.0,1597881773.0,385.0,21.18,59.848901,18.1185434,6.0,20.0,200.0,0.0,,EC 327
2020-08-20 00:02:57.868,mijnomgeving,357518080494909,1597881777868,255.0,193673.0,3.76,24.0,357518080494909.0,32.0,1597881785.0,0.0,0.0,2.55e-05,2.55e-05,0.0,0.0,0.0,0.0,,EC 329
2020-08-20 00:03:18.945,mijnomgeving,357518080497423,1597881798945,1.0,19818.0,4.17,19.0,357518080497423.0,32.0,1597881796.0,2320.0,21.35,52.5230377,5.5902431,6.0,-11.0,57.0,0.0,,EC 318
2020-08-20 00:03:30.358,mijnomgeving,357518080203151,1597881810358,2.0,1958450.0,4.21,20.0,357518080203151.0,32.0,1597881830.0,0.0,0.0,52.4208595,4.8601436,5.0,-12.0,253.0,0.0,,EC Prototype 001
2020-08-20 00:03:41.497,mijnomgeving,357518080495161,1597881821497,7.0,117917.0,4.21,19.0,357518080495161.0,32.0,1597881820.0,602.0,20.29,52.4996335,5.4527594,5.0,-5.0,233.0,6.0,,EC 315
2020-08-20 00:03:55.033,mijnomgeving,357518080170889,1597881835033,7.0,135982.0,4.05,18.0,357518080170889.0,32.0,1597881838.0,0.0,0.0,52.0146351,4.2954995,5.0,-15.0,0.0,0.0,,EC 236
2020-08-20 00:04:11.510,mijnomgeving,357518080497696,1597881851510,1.0,308719.0,4.17,19.0,357518080497696.0,32.0,1597881865.0,475.0,21.88,52.517292,5.5093848,5.0,17.0,30.0,0.0,,EC 319
2020-08-20 00:04:11.918,mijnomgeving,357518080165368,1597881851918,19.0,34693271.0,4.15,20.0,357518080165368.0,16.0,1597880858.0,108.0,24.7,52.3398261,4.9108426,5.0,4.0,0.0,0.0,,EC 208
