datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,speed,timestamp,waterEC,waterTemperature,name
2019-10-11 00:00:01.951,mijnomgeving,357518080167000,1570752001951,4.0,52.1739351,5.0356182,6.0,27914.0,6.0,4.13,11.0,250.0,357518080167000.0,32.0,1.0,1570752000.0,710.0,13.86,EC 228
2019-10-11 00:00:08.424,mijnomgeving,357518080171390,1570752008424,1.0,52.0318739,5.3034832,7.0,8611220.0,-26.0,4.17,12.0,0.0,357518080171390.0,64.0,0.0,1570752018.0,502.0,13.07,EC 202
2019-10-11 00:01:28.055,mijnomgeving,357518080330582,1570752088055,32.0,52.3731309,4.9461249,8.0,204342.0,-11.0,4.1,14.0,26.0,357518080330582.0,32.0,0.0,1570752093.0,4176.0,15.45,EC 219
2019-10-11 00:02:17.469,mijnomgeving,357518080170889,1570752137469,3.0,52.0145768,4.2955163,4.0,7214.0,-5.0,4.189999999999999,11.0,242.0,357518080170889.0,32.0,0.0,1570752135.0,1412.0,18.53,EC 236
2019-10-11 00:03:32.022,mijnomgeving,357518080200454,1570752212022,3.0,52.3312357,5.0623837,6.0,10423842.0,-16.0,4.12,11.0,205.0,357518080200454.0,16.0,0.0,1570752215.0,2373.0,13.77,EC Prototype 002
2019-10-11 00:04:09.967,mijnomgeving,357518080168982,1570752249967,3.0,52.226195,5.1745761,5.0,126913.0,15.0,4.2,12.0,0.0,357518080168982.0,32.0,0.0,1570752241.0,311.0,13.86,EC 233
2019-10-11 00:04:42.043,mijnomgeving,357518080169006,1570752282043,2.0,,,,4512.0,,4.17,11.0,,357518080169006.0,32.0,,1570752279.0,901.0,13.24,EC 213
2019-10-11 00:04:57.140,mijnomgeving,357518080166960,1570752297140,20.0,52.5367688,5.6974616000000005,5.0,48631.0,-19.0,4.04,12.0,17.0,357518080166960.0,32.0,0.0,1570752230.0,1.0,12.89,EC 232
2019-10-11 00:06:05.389,mijnomgeving,357518080168917,1570752365389,30.0,52.3405733,4.9255059,7.0,8603173.0,-24.0,4.08,12.0,197.0,357518080168917.0,16.0,0.0,1570752372.0,1275.0,13.68,EC 209
2019-10-11 00:06:44.175,mijnomgeving,357518080165368,1570752404175,11.0,52.3395872,4.9106956,4.0,7563634.0,-79.0,4.06,12.0,3.0,357518080165368.0,16.0,0.0,1570752417.0,1755.0,13.59,EC 208
2019-10-11 00:07:35.722,mijnomgeving,357518080166481,1570752455722,12.0,52.2260638,5.1754395,4.0,44122.0,184.0,4.22,10.0,0.0,357518080166481.0,32.0,0.0,1570752455.0,362.0,13.68,EC 218
2019-10-11 00:09:21.701,mijnomgeving,357518080203151,1570752561701,5.0,52.4210439,4.8601744,4.0,8575270.0,-17.0,4.18,12.0,0.0,357518080203151.0,16.0,0.0,1570752552.0,3295.0,13.59,EC Prototype 001
2019-10-11 00:11:11.055,mijnomgeving,357518080168966,1570752671055,35.0,52.5064407,4.6694732,6.0,40545.0,-18.0,4.21,18.0,236.0,357518080168966.0,32.0,0.0,1570752670.0,1.0,20.29,EC 237
2019-10-11 00:11:15.704,mijnomgeving,357518080165475,1570752675704,27.0,52.3688883,4.9088716,6.0,107149.0,-15.0,4.05,13.0,9.0,357518080165475.0,1.0,0.0,1570752679.0,3.0,14.83,EC 201
2019-10-11 00:11:50.172,mijnomgeving,357518080166754,1570752710172,1.0,52.3539113,4.924839,5.0,7981225.0,27.0,4.15,13.0,0.0,357518080166754.0,16.0,0.0,1570752682.0,2128.0,13.68,EC 204
2019-10-11 00:12:19.021,mijnomgeving,357518080163173,1570752739021,4.0,52.5366426,5.6974643,4.0,69314.0,2.0,4.13,10.0,13.0,357518080163173.0,32.0,1.0,1570752738.0,0.0,12.89,EC 231
2019-10-11 00:12:31.428,mijnomgeving,357518080167778,1570752751428,255.0,2.55e-05,2.55e-05,0.0,55029.0,0.0,4.23,24.0,0.0,357518080167778.0,1.0,0.0,1570752745.0,2.0,22.41,EC 222
2019-10-11 00:12:51.698,mijnomgeving,357518080163249,1570752771698,2.0,,,,2712.0,,4.18,13.0,,357518080163249.0,32.0,,1570752766.0,719.0,13.07,EC 212
2019-10-11 00:12:54.217,mijnomgeving,357518080166580,1570752774217,7.0,52.3604897,4.8154151,4.0,117017.0,6.0,4.15,12.0,1.0,357518080166580.0,32.0,0.0,1570752777.0,983.0,14.74,EC 224
2019-10-11 00:14:27.279,mijnomgeving,357518080163371,1570752867279,1.0,52.3988631,4.8723043,6.0,122420.0,21.0,4.189999999999999,13.0,6.0,357518080163371.0,32.0,0.0,1570752868.0,7649.0,15.36,EC 217
2019-10-11 00:14:49.111,mijnomgeving,357518080201338,1570752889111,31.0,52.2262414,5.1746415,5.0,10242051.0,-7.0,4.22,12.0,28.0,357518080201338.0,64.0,0.0,1570752889.0,35.0,13.51,EC 211
