datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,speed,timestamp,waterEC,waterTemperature,pH,name
2020-08-10 00:02:29.668,mijnomgeving,357518080495682,1597017749668,1.0,52.5494634,5.5882695,4.0,55818.0,-16.0,4.189999999999999,19.0,236.0,357518080495682.0,32.0,0.0,1597017733.0,2370.0,23.82,,EC 316
2020-08-10 00:02:46.316,mijnomgeving,357518080165368,1597017766316,12.0,52.3398663,4.9107472,4.0,33830136.0,-7.0,4.17,21.0,0.0,357518080165368.0,16.0,0.0,1597017749.0,189.0,24.61,,EC 208
2020-08-10 00:02:49.604,mijnomgeving,357518080495195,1597017769604,18.0,52.3011618,5.3604348,8.0,83736.0,-1.0,4.24,20.0,248.0,357518080495195.0,32.0,0.0,1597017761.0,1507.0,25.14,,EC 301
2020-08-10 00:02:50.564,mijnomgeving,357518080495120,1597017770564,13.0,52.33386,5.3127732,4.0,108930.0,4.0,4.18,16.0,205.0,357518080495120.0,32.0,0.0,1597017772.0,1374.0,21.0,,EC 303
2020-08-10 00:04:02.433,mijnomgeving,357518080328131,1597017842433,29.0,52.3918243,4.9360753,9.0,261948.0,16.0,4.12,21.0,0.0,357518080328131.0,32.0,0.0,1597017847.0,6519.0,25.14,,EC 230
2020-08-10 00:04:04.774,mijnomgeving,357518080495104,1597017844774,24.0,52.3372844,5.5374429,5.0,2741.0,5.0,4.18,22.0,0.0,357518080495104.0,32.0,0.0,1597017841.0,852.0,19.77,,EC 312
2020-08-10 00:04:05.343,mijnomgeving,357518080203151,1597017845343,5.0,52.4211081,4.8601236,4.0,1094426.0,41.0,4.22,21.0,18.0,357518080203151.0,32.0,1.0,1597017858.0,0.0,0.0,,EC Prototype 001
2020-08-10 00:04:25.830,mijnomgeving,357518080165475,1597017865830,32.0,52.3722137,4.9248106,6.0,26373647.0,25.0,4.06,22.0,40.0,357518080165475.0,1.0,0.0,1597017877.0,1.0,23.2,,EC 201
2020-08-10 00:04:28.687,mijnomgeving,357518080495526,1597017868687,35.0,59.7690652,17.5668801,7.0,408691.0,20.0,3.8200000000000003,15.0,19.0,357518080495526.0,32.0,0.0,1597017867.0,0.0,15.27,,EC 327
2020-08-10 00:06:25.257,mijnomgeving,357518080164395,1597017985257,21.0,51.8982965,4.423302,8.0,259232.0,12.0,4.189999999999999,22.0,0.0,357518080164395.0,32.0,0.0,1597017985.0,145.0,23.47,,EC 241
2020-08-10 00:06:48.534,mijnomgeving,357518080332257,1597018008534,18.0,51.8981035,4.4234849,7.0,32427.0,34.0,4.17,22.0,247.0,357518080332257.0,32.0,0.0,1597018006.0,650.0,23.29,,EC 240
2020-08-10 00:06:51.992,mijnomgeving,357518080495534,1597018011992,20.0,52.5326515,5.5930798,9.0,8148.0,0.0,4.22,19.0,4.0,357518080495534.0,32.0,0.0,1597018006.0,3727.0,24.44,,EC 307
2020-08-10 00:07:02.018,mijnomgeving,357518080494818,1597018022018,1.0,52.8092533,5.7454125,6.0,29718.0,63.0,4.23,18.0,45.0,357518080494818.0,32.0,0.0,1597018019.0,1548.0,23.73,,EC 309
2020-08-10 00:07:20.435,mijnomgeving,357518080167000,1597018040435,23.0,52.1739331,5.0358268,5.0,103532.0,6.0,4.12,23.0,0.0,357518080167000.0,32.0,0.0,1597018042.0,776.0,23.29,,EC 228
2020-08-10 00:07:40.151,mijnomgeving,357518080495187,1597018060151,38.0,52.635233,5.8235615,8.0,30655.0,6.0,4.24,22.0,207.0,357518080495187.0,32.0,0.0,1597018058.0,724.0,21.88,,EC 304
2020-08-10 00:07:45.903,mijnomgeving,357518080330764,1597018065903,255.0,2.55e-05,2.55e-05,0.0,14530.0,0.0,4.13,22.0,0.0,357518080330764.0,32.0,0.0,1597018060.0,1862.0,21.44,,EC 244
2020-08-10 00:07:52.111,mijnomgeving,357518080495153,1597018072111,0.0,52.5788665,5.7569166,7.0,917.0,9.0,4.189999999999999,21.0,0.0,357518080495153.0,32.0,0.0,1597018068.0,2546.0,22.94,,EC 313
2020-08-10 00:07:55.109,mijnomgeving,357518080494768,1597018075109,24.0,52.4166586,5.2263502,4.0,80141.0,-90.0,4.21,21.0,236.0,357518080494768.0,32.0,0.0,1597018076.0,1802.0,24.7,,EC 305
2020-08-10 00:07:58.100,mijnomgeving,357518080495021,1597018078100,1.0,53.1562377,7.0211167,6.0,25217.0,8.0,4.22,19.0,48.0,357518080495021.0,32.0,0.0,1597018075.0,360.0,21.62,,EC 325
2020-08-10 00:08:24.462,mijnomgeving,357518080166887,1597018104462,10.0,52.2511114,5.0504483,5.0,25108219.0,70.0,4.18,20.0,33.0,357518080166887.0,4.0,0.0,1597018124.0,775.0,26.46,,EC 200
2020-08-10 00:09:06.285,mijnomgeving,357518080497639,1597018146285,24.0,52.6593324,5.6608604,5.0,27042.0,32.0,4.189999999999999,20.0,28.0,357518080497639.0,32.0,0.0,1597018143.0,2044.0,24.44,,EC 308
2020-08-10 00:09:08.211,mijnomgeving,357518080330582,1597018148211,16.0,52.3732004,4.9461804,5.0,72931.0,25.0,4.02,24.0,30.0,357518080330582.0,32.0,0.0,1597018147.0,78.0,24.08,,EC 219
2020-08-10 00:09:18.176,mijnomgeving,357518080170889,1597018158176,2.0,52.0146043,4.2955461,4.0,196278.0,-5.0,4.15,22.0,1.0,357518080170889.0,32.0,0.0,1597018163.0,0.0,0.0,,EC 236
2020-08-10 00:09:19.258,mijnomgeving,357518080495088,1597018159258,255.0,2.55e-05,2.55e-05,0.0,51332.0,0.0,4.1,24.0,0.0,357518080495088.0,32.0,0.0,1597018357.0,0.0,25.5,7.827,EC 321
2020-08-10 00:09:29.326,mijnomgeving,357518080494909,1597018169326,255.0,2.55e-05,2.55e-05,0.0,246738.0,0.0,3.9,24.0,0.0,357518080494909.0,32.0,0.0,1597018174.0,0.0,23.11,,EC 329
2020-08-10 00:09:59.103,mijnomgeving,357518080495047,1597018199103,1.0,58.8209205,5.7131909,4.0,45015.0,33.0,3.66,23.0,243.0,357518080495047.0,32.0,0.0,1597018198.0,41.0,20.56,,EC 322
2020-08-10 00:10:26.578,mijnomgeving,357518080495534,1597018226578,0.0,52.5326487,5.5930966,11.0,43.0,-3.0,4.22,20.0,13.0,357518080495534.0,32.0,0.0,1597018223.0,3727.0,24.44,,EC 307
2020-08-10 00:10:50.696,mijnomgeving,357518080497423,1597018250696,20.0,52.5230224,5.5904753,5.0,54037.0,-19.0,4.18,18.0,210.0,357518080497423.0,32.0,0.0,1597018248.0,2380.0,24.26,,EC 318
2020-08-10 00:11:18.378,mijnomgeving,357518080163405,1597018278378,23.0,52.372932,4.9159307,8.0,80133.0,15.0,4.22,21.0,214.0,357518080163405.0,32.0,0.0,1597018279.0,350.0,23.11,,EC 226
2020-08-10 00:11:22.339,mijnomgeving,357518080497662,1597018282339,0.0,59.7643459,17.5733645,4.0,511236.0,3.0,4.24,8.0,211.0,357518080497662.0,32.0,0.0,1597018282.0,472.0,21.0,,EC 328
2020-08-10 00:11:30.345,mijnomgeving,357518080163249,1597018290345,7.0,,,,180918.0,,4.18,22.0,,357518080163249.0,32.0,,1597018295.0,735.0,23.29,,EC 212
2020-08-10 00:11:52.352,mijnomgeving,357518080169006,1597018312352,24.0,,,,285334.0,,3.64,20.0,,357518080169006.0,32.0,,1597018325.0,642.0,26.64,,EC 213
2020-08-10 00:12:01.776,mijnomgeving,357518080497696,1597018321776,24.0,52.5172453,5.5094759,5.0,63041.0,-6.0,4.189999999999999,20.0,23.0,357518080497696.0,32.0,0.0,1597018321.0,764.0,24.17,,EC 319
2020-08-10 00:12:03.805,mijnomgeving,357518080494776,1597018323805,5.0,52.3885576,5.5645557,4.0,22522.0,43.0,4.17,16.0,4.0,357518080494776.0,32.0,0.0,1597018296.0,314.0,18.35,,EC 330
2020-08-10 00:12:32.106,mijnomgeving,357518080494834,1597018352106,0.0,52.4257123,5.4209483,5.0,43218.0,26.0,4.09,18.0,233.0,357518080494834.0,32.0,0.0,1597018349.0,2082.0,24.53,,EC 314
2020-08-10 00:12:48.496,mijnomgeving,357518080494826,1597018368496,11.0,60.0242284,17.8154114,5.0,6329.0,109.0,4.08,11.0,231.0,357518080494826.0,32.0,0.0,1597018365.0,211.0,21.09,,EC 323
2020-08-10 00:13:05.905,mijnomgeving,357518080494875,1597018385905,13.0,52.6579294,5.6149465,4.0,18030.0,-17.0,4.2,22.0,12.0,357518080494875.0,32.0,2.0,1597018384.0,1389.0,24.17,,EC 311
2020-08-10 00:13:10.841,mijnomgeving,357518080166580,1597018390841,9.0,52.360151,4.8151206,6.0,4576.0,-65.0,4.11,23.0,36.0,357518080166580.0,32.0,0.0,1597018387.0,769.0,25.14,,EC 224
2020-08-10 00:13:38.620,mijnomgeving,357518080332265,1597018418620,32.0,52.3921327,4.9373748,7.0,159352.0,-5.0,4.13,22.0,203.0,357518080332265.0,32.0,0.0,1597018422.0,6908.0,24.44,,EC 221
2020-08-10 00:13:38.698,mijnomgeving,357518080495161,1597018418698,2.0,52.4996755,5.4528595,6.0,557113.0,-14.0,4.189999999999999,21.0,30.0,357518080495161.0,32.0,1.0,1597018417.0,650.0,19.06,,EC 315
2020-08-10 00:13:44.966,mijnomgeving,357518080494859,1597018424966,0.0,52.5405785,5.5891062,5.0,59418.0,-27.0,4.15,17.0,6.0,357518080494859.0,32.0,0.0,1597018416.0,3341.0,23.64,,EC 302
