datetime,app_id,dev_id,time,FixAge,TimeActive,batteryVoltage,boardTemperature,imei,lastResetCause,timestamp,waterEC,waterTemperature,Lat,Lon,SatInFix,altitude,course,speed,pH,name
2020-08-29 00:00:38.643,mijnomgeving,357518080495088,1598659238643,255.0,35123.0,4.01,24.0,357518080495088.0,32.0,1598659460.0,1.0,23.56,2.55e-05,2.55e-05,0.0,0.0,0.0,0.0,8.551,EC 321
2020-08-29 00:01:18.482,mijnomgeving,357518080166580,1598659278482,13.0,19823.0,4.15,13.0,357518080166580.0,32.0,1598659276.0,776.0,19.5,52.3603989,4.8156498,5.0,7.0,45.0,0.0,,EC 224
2020-08-29 00:01:26.259,mijnomgeving,357518080328131,1598659286259,14.0,2725.0,4.11,13.0,357518080328131.0,32.0,1598659280.0,4138.0,18.71,52.3913782,4.9350079000000004,4.0,-81.0,42.0,0.0,,EC 230
2020-08-29 00:01:39.736,mijnomgeving,357518080495104,1598659299736,20.0,37837.0,4.18,12.0,357518080495104.0,32.0,1598659298.0,611.0,16.77,52.337381,5.537438,6.0,-15.0,37.0,0.0,,EC 312
2020-08-29 00:01:59.854,mijnomgeving,357518080497423,1598659319854,0.0,85519.0,4.18,11.0,357518080497423.0,32.0,1598659319.0,2579.0,17.56,52.5229992,5.5902386,5.0,-9.0,214.0,0.0,,EC 318
2020-08-29 00:02:41.898,mijnomgeving,357518080495153,1598659361898,1.0,54918.0,4.189999999999999,11.0,357518080495153.0,32.0,1598659355.0,2345.0,17.74,52.5789949,5.7564409,4.0,44.0,216.0,0.0,,EC 313
2020-08-29 00:02:48.777,mijnomgeving,357518080167000,1598659368777,25.0,79235.0,4.12,12.0,357518080167000.0,32.0,1598659370.0,778.0,19.5,52.1739882,5.0360521,6.0,-7.0,0.0,0.0,,EC 228
2020-08-29 00:03:40.727,mijnomgeving,357518080494826,1598659420727,1.0,32418.0,4.2,9.0,357518080494826.0,32.0,1598659420.0,204.0,16.77,60.0246149,17.8155339,4.0,13.0,236.0,4.0,,EC 323
2020-08-29 00:03:42.986,mijnomgeving,357518080495161,1598659422986,33.0,51344.0,4.2,12.0,357518080495161.0,32.0,1598659419.0,594.0,17.03,52.4997339,5.4527574,8.0,12.0,0.0,0.0,,EC 315
2020-08-29 00:04:08.002,mijnomgeving,357518080497696,1598659448002,1.0,153018.0,4.189999999999999,11.0,357518080497696.0,32.0,1598659453.0,653.0,16.86,52.5172826,5.5094893,6.0,-18.0,224.0,1.0,,EC 319
2020-08-29 00:04:19.320,mijnomgeving,357518080497662,1598659459320,7.0,14424.0,4.23,6.0,357518080497662.0,32.0,1598659455.0,477.0,17.74,59.7643441,17.5732945,5.0,-1.0,210.0,0.0,,EC 328
2020-08-29 00:04:43.805,mijnomgeving,357518080495120,1598659483805,15.0,136833.0,4.18,10.0,357518080495120.0,32.0,1598659483.0,1178.0,16.94,52.3337619,5.3126366,8.0,0.0,0.0,0.0,,EC 303
2020-08-29 00:05:43.146,mijnomgeving,357518080494768,1598659543146,1.0,4518.0,4.2,13.0,357518080494768.0,32.0,1598659536.0,1731.0,19.24,52.416629,5.2266018,4.0,0.0,205.0,3.0,,EC 305
2020-08-29 00:06:26.149,mijnomgeving,357518080494776,1598659586149,1.0,15318.0,4.17,10.0,357518080494776.0,32.0,1598659584.0,894.0,15.62,52.3882453,5.5645656,5.0,-12.0,32.0,0.0,,EC 330
2020-08-29 00:07:10.242,mijnomgeving,357518080495021,1598659630242,43.0,23460.0,4.08,20.0,357518080495021.0,32.0,1598659627.0,0.0,20.12,53.1563014,7.0211938,5.0,-12.0,253.0,0.0,,EC 325
2020-08-29 00:07:39.234,mijnomgeving,357518080497639,1598659659234,2.0,18918.0,4.189999999999999,13.0,357518080497639.0,32.0,1598659656.0,1800.0,17.56,52.6592825,5.660502,5.0,-11.0,223.0,0.0,,EC 308
2020-08-29 00:08:10.064,mijnomgeving,357518080164395,1598659690064,30.0,53140.0,4.189999999999999,12.0,357518080164395.0,32.0,1598659688.0,107.0,20.91,51.8981854,4.423315,8.0,-2.0,0.0,0.0,,EC 241
2020-08-29 00:08:19.604,mijnomgeving,357518080163249,1598659699604,23.0,8133.0,4.18,12.0,357518080163249.0,32.0,1598659695.0,710.0,17.03,,,,,,,,EC 212
2020-08-29 00:08:28.338,mijnomgeving,357518080495534,1598659708338,0.0,56718.0,4.21,11.0,357518080495534.0,32.0,1598659708.0,2278.0,16.86,52.5326457,5.5930694,6.0,0.0,204.0,0.0,,EC 307
2020-08-29 00:08:52.375,mijnomgeving,357518080494818,1598659732375,13.0,14430.0,4.189999999999999,11.0,357518080494818.0,32.0,1598659730.0,1439.0,17.91,52.8090226,5.7454027,5.0,104.0,221.0,0.0,,EC 309
