datetime,app_id,dev_id,time,FixAge,TimeActive,batteryVoltage,boardTemperature,imei,lastResetCause,timestamp,waterEC,waterTemperature,Lat,Lon,SatInFix,altitude,course,speed,name
2020-02-26 00:00:19.115,mijnomgeving,357518080495609,1582675219115,18.0,36936.0,3.64,2.0,357518080495609.0,32.0,1582675217.0,78.0,9.1,51.7484358,4.1016125,5.0,-9.0,40.0,0.0,EC 310
2020-02-26 00:00:22.043,mijnomgeving,357518080497639,1582675222043,0.0,79219.0,4.18,3.0,357518080497639.0,32.0,1582675219.0,1469.0,9.1,52.6592018,5.6608608,10.0,-5.0,44.0,0.0,EC 308
2020-02-26 00:00:52.437,mijnomgeving,357518080332257,1582675252437,3.0,236712.0,4.08,-2.0,357518080332257.0,32.0,1582675253.0,709.0,9.72,51.898241,4.4234715,5.0,20.0,0.0,0.0,EC 240
2020-02-26 00:01:21.165,mijnomgeving,357518080495203,1582675281165,1.0,23418.0,4.17,0.0,357518080495203.0,32.0,1582675277.0,148.0,7.95,52.2261368,5.1747272,10.0,25.0,247.0,0.0,EC 324
2020-02-26 00:01:52.555,mijnomgeving,357518080163405,1582675312555,4.0,170115.0,4.13,0.0,357518080163405.0,32.0,1582675317.0,1822.0,9.72,52.3728233,4.9160398,5.0,-61.0,0.0,0.0,EC 226
2020-02-26 00:01:54.646,mijnomgeving,357518080165475,1582675314646,2.0,12030346.0,4.07,1.0,357518080165475.0,1.0,1582675330.0,1832.0,9.27,52.3721522,4.9250377,5.0,16.0,0.0,0.0,EC 201
2020-02-26 00:02:04.165,mijnomgeving,357518080494875,1582675324165,22.0,11739.0,4.189999999999999,3.0,357518080494875.0,32.0,1582675320.0,1440.0,9.27,52.6574365,5.6146411,4.0,-33.0,47.0,1.0,EC 311
2020-02-26 00:02:38.230,mijnomgeving,357518080494859,1582675358230,0.0,39618.0,4.16,0.0,357518080494859.0,32.0,1582675355.0,1530.0,8.92,52.5409366,5.5888677,6.0,-23.0,212.0,0.0,EC 302
2020-02-26 00:02:42.198,mijnomgeving,357518080495187,1582675362198,0.0,85518.0,4.189999999999999,3.0,357518080495187.0,32.0,1582675362.0,583.0,9.01,52.6352004,5.8233642,4.0,6.0,45.0,1.0,EC 304
2020-02-26 00:03:12.833,mijnomgeving,357518080494826,1582675392833,1.0,94518.0,4.18,2.0,357518080494826.0,32.0,1582675393.0,145.0,7.51,52.2261271,5.1746506,7.0,9.0,245.0,0.0,EC 323
2020-02-26 00:03:18.170,mijnomgeving,357518080163249,1582675398170,19.0,6329.0,4.11,1.0,357518080163249.0,32.0,1582675395.0,498.0,8.83,,,,,,,EC 212
2020-02-26 00:03:42.267,mijnomgeving,357518080495161,1582675422267,2.0,5285721.0,4.18,1.0,357518080495161.0,32.0,1582675429.0,740.0,9.1,52.4996008,5.4528635,6.0,7.0,30.0,0.0,EC 315
