datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,pH,speed,timestamp,waterEC,waterTemperature,name
2020-06-20 00:00:16.313,mijnomgeving,357518080495120,1592611216313,1.0,52.3337901,5.3126195,11.0,1818.0,-1.0,4.18,9.0,33.0,357518080495120.0,32.0,,0.0,1592611211.0,1426.0,17.83,EC 303
2020-06-20 00:00:38.319,mijnomgeving,357518080497696,1592611238319,26.0,52.517261,5.5091393,5.0,114342.0,0.0,4.22,15.0,25.0,357518080497696.0,32.0,,0.0,1592611240.0,1175.0,19.32,EC 319
2020-06-20 00:00:52.125,mijnomgeving,357518080166663,1592611252125,3.0,51.8983057,4.4233041,5.0,1813.0,5.0,4.189999999999999,13.0,6.0,357518080166663.0,32.0,,0.0,1592611246.0,21.0,20.65,EC 243
2020-06-20 00:01:42.430,mijnomgeving,357518080495104,1592611302430,1.0,52.3373387,5.5373449,4.0,37817.0,-1.0,4.17,12.0,245.0,357518080495104.0,32.0,,3.0,1592611299.0,572.0,18.62,EC 312
2020-06-20 00:01:47.882,mijnomgeving,357518080163249,1592611307882,20.0,,,,165630.0,,4.18,11.0,,357518080163249.0,32.0,,,1592611313.0,838.0,19.41,EC 212
2020-06-20 00:01:51.412,mijnomgeving,357518080494859,1592611311412,24.0,52.5409809,5.5887835,5.0,57642.0,-1.0,4.15,10.0,0.0,357518080494859.0,32.0,,0.0,1592611297.0,2815.0,20.38,EC 302
2020-06-20 00:02:01.635,mijnomgeving,357518080171390,1592611321635,4.0,52.0318782,5.3038516,4.0,30471358.0,0.0,4.18,9.0,222.0,357518080171390.0,64.0,,0.0,1592611324.0,402.0,17.38,EC 202
2020-06-20 00:02:16.941,mijnomgeving,357518080200454,1592611336941,13.0,52.3314149,5.062626,4.0,32283964.0,8.0,4.1,13.0,0.0,357518080200454.0,16.0,,0.0,1592611349.0,0.0,0.0,EC Prototype 002
2020-06-20 00:02:17.996,mijnomgeving,357518080330582,1592611337996,28.0,52.3730043,4.9459064,6.0,64838.0,5.0,4.11,16.0,17.0,357518080330582.0,32.0,,0.0,1592611338.0,118.0,20.73,EC 219
2020-06-20 00:02:20.524,mijnomgeving,357518080167000,1592611340524,22.0,52.173853,5.0360275,5.0,179132.0,-20.0,4.13,13.0,0.0,357518080167000.0,32.0,,0.0,1592611347.0,685.0,21.35,EC 228
2020-06-20 00:02:29.414,mijnomgeving,357518080495526,1592611349414,7.0,59.7501935,17.507485,4.0,128724.0,74.0,4.15,13.0,9.0,357518080495526.0,32.0,,6.0,1592611354.0,682.0,15.89,EC 327
2020-06-20 00:03:26.633,mijnomgeving,357518080494818,1592611406633,1.0,52.8091511,5.7452577,4.0,117018.0,-2.0,4.2,12.0,48.0,357518080494818.0,32.0,,0.0,1592611409.0,1585.0,21.62,EC 309
2020-06-20 00:03:52.675,mijnomgeving,357518080495682,1592611432675,1.0,52.5495958,5.588083,4.0,36027.0,6.0,4.189999999999999,12.0,3.0,357518080495682.0,32.0,,1.0,1592611415.0,2499.0,21.0,EC 316
2020-06-20 00:04:27.321,mijnomgeving,357518080166580,1592611467321,4.0,52.3603916,4.8156753,5.0,3614.0,-16.0,4.15,14.0,0.0,357518080166580.0,32.0,,0.0,1592611464.0,715.0,21.26,EC 224
2020-06-20 00:04:35.726,mijnomgeving,357518080494875,1592611475726,16.0,52.6576608,5.6147352,4.0,66634.0,12.0,4.2,18.0,48.0,357518080494875.0,32.0,,2.0,1592611474.0,2038.0,21.18,EC 311
2020-06-20 00:04:47.407,mijnomgeving,357518080168917,1592611487407,2.0,52.3406611,4.9255965,5.0,30463223.0,-23.0,4.2,12.0,245.0,357518080168917.0,16.0,,0.0,1592611459.0,1375.0,21.7,EC 209
2020-06-20 00:04:59.348,mijnomgeving,357518080166424,1592611499348,255.0,2.55e-05,2.55e-05,0.0,53246.0,0.0,3.6,22.0,0.0,357518080166424.0,32.0,,0.0,1592611492.0,0.0,21.53,EC 238
2020-06-20 00:05:00.321,mijnomgeving,357518080163173,1592611500321,31.0,52.7180048,6.8408206,6.0,136841.0,17.0,4.22,14.0,0.0,357518080163173.0,32.0,,0.0,1592611504.0,600.0,21.7,EC 231
2020-06-20 00:05:18.747,mijnomgeving,357518080495153,1592611518747,1.0,52.5789613,5.7568752,7.0,28818.0,-10.0,4.189999999999999,12.0,46.0,357518080495153.0,32.0,,0.0,1592611517.0,2775.0,20.56,EC 313
2020-06-20 00:05:23.442,mijnomgeving,357518080332257,1592611523442,4.0,51.8982479,4.4230249,6.0,58513.0,18.0,4.17,13.0,0.0,357518080332257.0,32.0,,0.0,1592611499.0,947.0,20.73,EC 240
2020-06-20 00:05:34.513,mijnomgeving,357518080332265,1592611534513,5.0,52.3922735,4.9373108,5.0,61225.0,15.0,4.14,14.0,245.0,357518080332265.0,32.0,,0.0,1592611535.0,5038.0,21.44,EC 221
2020-06-20 00:06:01.990,mijnomgeving,357518080164395,1592611561990,3.0,51.8982948,4.4232855,7.0,1814.0,8.0,4.18,13.0,0.0,357518080164395.0,32.0,,0.0,1592611558.0,3616.0,20.91,EC 241
2020-06-20 00:06:38.826,mijnomgeving,357518080495187,1592611598826,29.0,52.6351401,5.8234548,6.0,57646.0,-23.0,4.2,13.0,56.0,357518080495187.0,32.0,,0.0,1592611598.0,612.0,21.09,EC 304
2020-06-20 00:06:41.341,mijnomgeving,357518080165368,1592611601341,20.0,52.3398148,4.910792,6.0,29423776.0,-5.0,4.15,12.0,0.0,357518080165368.0,16.0,,0.0,1592611597.0,2562.0,21.88,EC 208
2020-06-20 00:06:58.210,mijnomgeving,357518080494982,1592611618210,255.0,2.55e-05,2.55e-05,0.0,251248.0,0.0,4.08,24.0,0.0,357518080494982.0,32.0,,0.0,1592611630.0,1.0,22.15,EC 326
2020-06-20 00:07:37.924,mijnomgeving,357518080497639,1592611657924,0.0,52.6591753,5.661029,5.0,12617.0,36.0,4.18,15.0,29.0,357518080497639.0,32.0,,1.0,1592611653.0,2387.0,22.32,EC 308
2020-06-20 00:07:56.158,mijnomgeving,357518080203151,1592611676158,5.0,52.4207136,4.8600559,4.0,1509387.0,10.0,3.83,15.0,0.0,357518080203151.0,16.0,,0.0,1592611683.0,0.0,0.0,EC Prototype 001
2020-06-20 00:08:03.664,mijnomgeving,357518080494826,1592611683664,1.0,59.7506383,17.5069754,4.0,84618.0,111.0,3.89,14.0,255.0,357518080494826.0,32.0,,0.0,1592611685.0,509.0,15.8,EC 323
2020-06-20 00:08:49.055,mijnomgeving,357518080495070,1592611729055,255.0,2.55e-05,2.55e-05,0.0,298034.0,0.0,4.03,24.0,0.0,357518080495070.0,16.0,,0.0,1592611741.0,418.0,21.35,EC 320
2020-06-20 00:08:49.122,mijnomgeving,357518080495070,1592611729122,255.0,2.55e-05,2.55e-05,0.0,298034.0,0.0,4.03,24.0,0.0,357518080495070.0,16.0,,0.0,1592611741.0,418.0,21.35,EC 320
2020-06-20 00:08:51.660,mijnomgeving,357518080165475,1592611731660,1.0,52.3719892,4.9253105,7.0,21967266.0,-8.0,4.16,12.0,0.0,357518080165475.0,1.0,,0.0,1592611730.0,3.0,16.33,EC 201
2020-06-20 00:09:07.078,mijnomgeving,357518080495146,1592611747078,24.0,52.3869849,5.3122278,6.0,73841.0,-9.0,4.17,13.0,35.0,357518080495146.0,32.0,,0.0,1592611746.0,2041.0,22.94,EC 317
2020-06-20 00:09:38.068,mijnomgeving,357518080495161,1592611778068,1.0,52.4996895,5.4529498,5.0,39611.0,19.0,4.2,13.0,25.0,357518080495161.0,32.0,,6.0,1592611776.0,991.0,20.29,EC 315
2020-06-20 00:09:49.067,mijnomgeving,357518080495195,1592611789067,8.0,52.3012887,5.3601339,4.0,5425.0,-15.0,4.2,12.0,0.0,357518080495195.0,32.0,,0.0,1592611785.0,1747.0,22.76,EC 301
2020-06-20 00:09:52.259,mijnomgeving,357518080330764,1592611792259,255.0,2.55e-05,2.55e-05,0.0,12730.0,0.0,4.16,20.0,0.0,357518080330764.0,32.0,,0.0,1592611789.0,1322.0,23.91,EC 244
2020-06-20 00:10:19.136,mijnomgeving,357518080494834,1592611819136,16.0,52.4257661,5.4207624,8.0,42334.0,7.0,4.14,12.0,14.0,357518080494834.0,32.0,,0.0,1592611810.0,1285.0,21.97,EC 314
2020-06-20 00:10:28.164,mijnomgeving,357518080497662,1592611828164,26.0,59.7503855,17.5075079,7.0,241243.0,34.0,4.13,14.0,249.0,357518080497662.0,32.0,,0.0,1592611839.0,461.0,16.06,EC 328
2020-06-20 00:10:31.922,mijnomgeving,357518080169006,1592611831922,17.0,,,,101797.0,,3.98,20.0,,357518080169006.0,32.0,,,1592611834.0,0.0,0.0,EC 213
2020-06-20 00:11:10.235,mijnomgeving,357518080494776,1592611870235,255.0,2.55e-05,2.55e-05,0.0,70347.0,0.0,3.85,24.0,0.0,357518080494776.0,32.0,,0.0,1592611870.0,0.0,23.73,EC 330
2020-06-20 00:11:11.146,mijnomgeving,357518080495021,1592611871146,13.0,53.1558137,7.0210435,5.0,51330.0,40.0,4.2,13.0,14.0,357518080495021.0,32.0,,2.0,1592611870.0,351.0,20.03,EC 325
2020-06-20 00:11:50.225,mijnomgeving,357518080495534,1592611910225,20.0,52.5327261,5.5930757,10.0,18946.0,-5.0,4.2,13.0,0.0,357518080495534.0,32.0,,0.0,1592611907.0,3010.0,21.44,EC 307
2020-06-20 00:12:12.225,mijnomgeving,357518080166754,1592611932225,2.0,52.3538368,4.9250165,5.0,29841361.0,12.0,4.18,13.0,0.0,357518080166754.0,16.0,,0.0,1592611934.0,1257.0,21.97,EC 204
2020-06-20 00:12:16.238,mijnomgeving,357518080495088,1592611936238,255.0,2.55e-05,2.55e-05,0.0,70243.0,0.0,4.25,24.0,0.0,357518080495088.0,32.0,20.103,0.0,1592612066.0,478.0,24.44,EC 321
2020-06-20 00:12:40.258,mijnomgeving,357518080497423,1592611960258,18.0,52.5230157,5.5902478,9.0,9035.0,-15.0,4.17,12.0,39.0,357518080497423.0,32.0,,0.0,1592611957.0,3499.0,21.26,EC 318
2020-06-20 00:12:53.438,mijnomgeving,357518080166887,1592611973438,28.0,52.2510359,5.0503441,6.0,20701890.0,3.0,4.189999999999999,12.0,15.0,357518080166887.0,4.0,,0.0,1592611977.0,549.0,21.44,EC 200
2020-06-20 00:12:59.322,mijnomgeving,357518080495112,1592611979322,1.0,52.8374606,5.7137477,5.0,43.0,-34.0,4.22,16.0,21.0,357518080495112.0,32.0,,0.0,1592611975.0,1762.0,21.26,EC 306
2020-06-20 00:13:32.300,mijnomgeving,357518080170889,1592612012300,4.0,52.0144765,4.2955349,4.0,114383.0,6.0,4.17,12.0,0.0,357518080170889.0,32.0,,0.0,1592612014.0,0.0,0.0,EC 236
2020-06-20 00:14:04.045,mijnomgeving,357518080328131,1592612044045,17.0,52.3917018,4.9359326,5.0,17127.0,48.0,4.12,14.0,18.0,357518080328131.0,32.0,,0.0,1592612038.0,5630.0,21.7,EC 230
2020-06-20 00:14:05.359,mijnomgeving,357518080494768,1592612045359,16.0,52.416693,5.2266359,4.0,61233.0,-3.0,4.2,15.0,0.0,357518080494768.0,32.0,,0.0,1592612045.0,2409.0,21.97,EC 305
2020-06-20 00:14:17.055,mijnomgeving,357518080332240,1592612057055,17.0,52.2140027,6.8722283,4.0,130527.0,64.0,4.21,17.0,0.0,357518080332240.0,32.0,,0.0,1592612061.0,1397.0,17.65,EC 225
2020-06-20 00:14:19.508,mijnomgeving,357518080163405,1592612059508,2.0,52.3728196,4.9161101,7.0,111613.0,8.0,4.189999999999999,13.0,0.0,357518080163405.0,32.0,,0.0,1592612056.0,174.0,20.56,EC 226
2020-06-20 00:15:16.485,mijnomgeving,357518080495120,1592612116485,1.0,52.3337723,5.3126276,10.0,2718.0,6.0,4.189999999999999,8.0,44.0,357518080495120.0,32.0,,0.0,1592612112.0,1426.0,17.74,EC 303
2020-06-20 00:15:18.453,mijnomgeving,357518080497696,1592612118453,3.0,52.5171733,5.5091453,4.0,115219.0,6.0,4.22,14.0,12.0,357518080497696.0,32.0,,0.0,1592612117.0,1176.0,19.32,EC 319
2020-06-20 00:15:57.216,mijnomgeving,357518080166663,1592612157216,2.0,51.8981454,4.42325,5.0,2712.0,0.0,4.2,13.0,7.0,357518080166663.0,32.0,,0.0,1592612145.0,20.0,20.73,EC 243
2020-06-20 00:16:32.713,mijnomgeving,357518080163249,1592612192713,5.0,,,,166515.0,,4.18,11.0,,357518080163249.0,32.0,,,1592612198.0,841.0,19.32,EC 212
2020-06-20 00:16:35.527,mijnomgeving,357518080494859,1592612195527,1.0,52.5409759,5.5887746,5.0,58527.0,0.0,4.15,10.0,46.0,357518080494859.0,32.0,,0.0,1592612182.0,2802.0,20.29,EC 302
2020-06-20 00:16:54.202,mijnomgeving,357518080330582,1592612214202,4.0,52.3729513,4.9458701,5.0,65714.0,12.0,4.11,16.0,42.0,357518080330582.0,32.0,,0.0,1592612214.0,118.0,20.73,EC 219
2020-06-20 00:16:59.565,mijnomgeving,357518080495104,1592612219565,8.0,52.3374525,5.5376691000000005,4.0,38725.0,77.0,4.17,13.0,252.0,357518080495104.0,32.0,,0.0,1592612206.0,582.0,18.53,EC 312
2020-06-20 00:17:17.146,mijnomgeving,357518080171390,1592612237146,19.0,52.0319019,5.3035008999999995,6.0,30472273.0,0.0,4.18,8.0,0.0,357518080171390.0,64.0,,0.0,1592612239.0,402.0,17.38,EC 202
2020-06-20 00:17:21.316,mijnomgeving,357518080167000,1592612241316,23.0,52.1738935,5.0357819,5.0,180033.0,-13.0,4.13,12.0,8.0,357518080167000.0,32.0,,0.0,1592612248.0,686.0,21.35,EC 228
2020-06-20 00:17:23.133,mijnomgeving,357518080200454,1592612243133,20.0,52.3312631,5.0623959,4.0,32284872.0,17.0,4.1,12.0,0.0,357518080200454.0,16.0,,0.0,1592612256.0,0.0,0.0,EC Prototype 002
2020-06-20 00:17:23.622,mijnomgeving,357518080495526,1592612243622,1.0,59.7506013,17.506587,5.0,129618.0,154.0,4.15,12.0,233.0,357518080495526.0,32.0,,9.0,1592612248.0,680.0,15.8,EC 327
2020-06-20 00:18:40.700,mijnomgeving,357518080494818,1592612320700,16.0,52.8090567,5.7453047999999995,5.0,117933.0,-5.0,4.2,12.0,197.0,357518080494818.0,32.0,,0.0,1592612324.0,1589.0,21.62,EC 309
