datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,speed,timestamp,waterEC,waterTemperature,name
2020-02-27 00:00:13.116,mijnomgeving,357518080163249,1582761613116,3.0,,,,1813.0,,4.07,0.0,,357518080163249.0,32.0,,1582761610.0,545.0,7.78,EC 212
2020-02-27 00:00:16.872,mijnomgeving,357518080497639,1582761616872,0.0,52.6592248,5.6606921,4.0,165619.0,-12.0,4.189999999999999,2.0,216.0,357518080497639.0,32.0,0.0,1582761619.0,1615.0,8.66,EC 308
2020-02-27 00:00:44.923,mijnomgeving,357518080332257,1582761644923,1.0,51.8982375,4.4231057,5.0,323110.0,-20.0,4.08,2.0,0.0,357518080332257.0,32.0,1.0,1582761651.0,631.0,9.54,EC 240
2020-02-27 00:01:07.721,mijnomgeving,357518080495609,1582761667721,26.0,51.7483392,4.1025085,4.0,85543.0,24.0,3.65,4.0,213.0,357518080495609.0,32.0,0.0,1582761669.0,1.0,7.51,EC 310
2020-02-27 00:01:25.710,mijnomgeving,357518080495203,1582761685710,0.0,52.2260871,5.174611,5.0,109828.0,27.0,4.17,0.0,55.0,357518080495203.0,32.0,0.0,1582761687.0,137.0,6.8100000000000005,EC 324
2020-02-27 00:01:50.492,mijnomgeving,357518080165475,1582761710492,2.0,52.3720361,4.9252065,4.0,12116746.0,-1.0,4.08,0.0,0.0,357518080165475.0,1.0,0.0,1582761730.0,1776.0,9.1,EC 201
2020-02-27 00:02:05.348,mijnomgeving,357518080328131,1582761725348,8.0,52.3867168,4.91768,5.0,80116.0,-36.0,3.6,12.0,0.0,357518080328131.0,32.0,0.0,1582761724.0,1.0,9.8,EC 230
2020-02-27 00:02:28.789,mijnomgeving,357518080494875,1582761748789,9.0,52.6581741,5.6148011,4.0,71125.0,57.0,4.2,3.0,209.0,357518080494875.0,32.0,2.0,1582761748.0,1459.0,9.01,EC 311
2020-02-27 00:02:59.803,mijnomgeving,357518080495187,1582761779803,24.0,52.6351236,5.8234793,5.0,171940.0,-53.0,4.2,0.0,201.0,357518080495187.0,32.0,0.0,1582761784.0,614.0,8.31,EC 304
2020-02-27 00:04:01.866,mijnomgeving,357518080494826,1582761841866,0.0,52.2261074,5.1746782,9.0,68427.0,24.0,4.18,1.0,0.0,357518080494826.0,32.0,0.0,1582761842.0,131.0,6.37,EC 323
2020-02-27 00:04:04.231,mijnomgeving,357518080166754,1582761844231,4.0,52.3538476,4.9246453,4.0,19990847.0,5.0,4.15,0.0,0.0,357518080166754.0,16.0,0.0,1582761836.0,1365.0,9.27,EC 204
2020-02-27 00:04:11.883,mijnomgeving,357518080495161,1582761851883,32.0,52.4996187,5.4529585,4.0,5372150.0,-10.0,4.18,1.0,222.0,357518080495161.0,32.0,0.0,1582761859.0,767.0,8.75,EC 315
2020-02-27 00:04:16.410,mijnomgeving,357518080169006,1582761856410,2.0,,,,286211.0,,3.73,0.0,,357518080169006.0,32.0,,1582761865.0,783.0,8.04,EC 213
2020-02-27 00:04:53.006,mijnomgeving,357518080495120,1582761893006,1.0,52.3337677,5.3126246,10.0,74718.0,-4.0,4.18,-1.0,39.0,357518080495120.0,32.0,0.0,1582761892.0,1513.0,9.01,EC 303
2020-02-27 00:04:57.895,mijnomgeving,357518080494859,1582761897895,0.0,52.5409915,5.5887812,10.0,35118.0,-7.0,4.17,-1.0,16.0,357518080494859.0,32.0,0.0,1582761895.0,1530.0,8.66,EC 302
2020-02-27 00:05:23.969,mijnomgeving,357518080494909,1582761923969,1.0,52.2261839,5.1747077,6.0,363618.0,14.0,4.17,-3.0,238.0,357518080494909.0,32.0,0.0,1582761935.0,136.0,6.54,EC 329
2020-02-27 00:05:27.988,mijnomgeving,357518080495070,1582761927988,1.0,52.2260266,5.1751059,5.0,41418.0,44.0,4.17,1.0,220.0,357518080495070.0,32.0,0.0,1582761926.0,145.0,6.37,EC 320
2020-02-27 00:05:28.932,mijnomgeving,357518080495047,1582761928932,1.0,52.2262156,5.1746604,6.0,72018.0,9.0,4.18,0.0,0.0,357518080495047.0,32.0,0.0,1582761929.0,142.0,6.63,EC 322
2020-02-27 00:05:52.996,mijnomgeving,357518080494818,1582761952996,1.0,52.8098622,5.745073,10.0,76517.0,-10.0,4.16,-1.0,0.0,357518080494818.0,32.0,0.0,1582761953.0,1255.0,9.36,EC 309
2020-02-27 00:06:31.132,mijnomgeving,357518080166663,1582761991132,3.0,51.8982448,4.422993,6.0,21613.0,21.0,4.12,3.0,234.0,357518080166663.0,32.0,0.0,1582761987.0,888.0,9.54,EC 243
2020-02-27 00:06:35.033,mijnomgeving,357518080495021,1582761995033,3.0,53.1562163,7.0219115,7.0,14420.0,68.0,4.06,1.0,217.0,357518080495021.0,32.0,0.0,1582761992.0,2.0,5.84,EC 325
2020-02-27 00:06:38.021,mijnomgeving,357518080494768,1582761998021,26.0,52.4166518,5.2266013,7.0,18943.0,-11.0,4.189999999999999,2.0,40.0,357518080494768.0,32.0,0.0,1582761984.0,1663.0,9.27,EC 305
2020-02-27 00:07:41.167,mijnomgeving,357518080497662,1582762061167,1.0,52.2262637,5.1744505,5.0,119719.0,1.0,4.22,1.0,0.0,357518080497662.0,32.0,0.0,1582762062.0,149.0,6.72,EC 328
2020-02-27 00:08:03.162,mijnomgeving,357518080495146,1582762083162,0.0,52.3869844,5.3122567,8.0,23418.0,-3.0,4.18,0.0,209.0,357518080495146.0,32.0,0.0,1582762080.0,1465.0,9.01,EC 317
2020-02-27 00:08:05.913,mijnomgeving,357518080167000,1582762085913,2.0,52.1739557,5.0358681,7.0,41412.0,-6.0,4.13,0.0,19.0,357518080167000.0,32.0,0.0,1582762085.0,625.0,9.19,EC 228
2020-02-27 00:08:18.264,mijnomgeving,357518080171390,1582762098264,3.0,52.0319071,5.3037996,5.0,20621739.0,46.0,4.14,-2.0,0.0,357518080171390.0,64.0,0.0,1582762095.0,664.0,9.01,EC 202
2020-02-27 00:08:34.509,mijnomgeving,357518080494982,1582762114509,25.0,52.2261505,5.1746724,11.0,129642.0,25.0,4.18,1.0,0.0,357518080494982.0,32.0,0.0,1582762118.0,141.0,6.45,EC 326
2020-02-27 00:08:49.230,mijnomgeving,357518080170889,1582762129230,1.0,52.0145902,4.2956053,5.0,12611.0,-2.0,4.18,-2.0,58.0,357518080170889.0,32.0,0.0,1582762126.0,1033.0,12.36,EC 236
2020-02-27 00:08:54.498,mijnomgeving,357518080495104,1582762134498,1.0,52.3375471,5.537524,7.0,4518.0,2.0,4.1,2.0,209.0,357518080495104.0,32.0,0.0,1582762130.0,673.0,9.45,EC 312
2020-02-27 00:09:39.775,mijnomgeving,357518080163405,1582762179775,36.0,52.373032,4.9160651,8.0,19846.0,20.0,4.13,-1.0,0.0,357518080163405.0,32.0,0.0,1582762178.0,1639.0,9.45,EC 226
